Date,Mode,Category,Subcategory,Note,Amount,Type,Currency
2018-08-27,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-25,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
2018-08-24,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,INR
2018-08-24,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-24,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR
2018-08-23,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR
2018-08-23,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR
2018-08-23,Saving Bank account 1,Food,Lunch,Catering Service,60.0,Expense,INR
2018-08-22,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
2018-08-21,Cash,Food,Tea,cutting chai,12.0,Expense,INR
2018-08-21,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-19,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
2018-08-17,Saving Bank account 1,Food,curd,Dahi 2 packets,20.0,Expense,INR
2018-08-17,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-16,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-08-15,Cash,Food,Sweets,Warna Srikhand half kg,290.0,Expense,INR
2018-08-15,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
2018-08-14,Cash,Food,snacks,Dahi,32.0,Expense,INR
2018-08-14,Cash,Household,Kirana,Toothpaste Patanjali,160.0,Expense,INR
2018-08-14,Cash,Apparel,Laundry,8 clothes ironing,56.0,Expense,INR
2018-08-14,Cash,Food,Ice cream,Vanila family pack,115.0,Expense,INR
2018-08-13,Cash,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR
2018-08-13,Cash,Household,home decor,Brass Puja plate and diva,220.0,Expense,INR
2018-08-13,Cash,Food,Grocery,Half kg Lahsoon,45.0,Expense,INR
2018-08-13,Cash,Household,Kirana,Supermart,594.0,Expense,INR
2018-08-13,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR
2018-08-13,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
2018-08-11,Cash,Food,snacks,8 kachori,96.0,Expense,INR
2018-08-06,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
2018-08-05,Cash,Food,Tea,cutting chai,10.0,Expense,INR
2018-08-05,Credit Card,Health,Health,eyewear Glasses payment remaining,4300.0,Expense,INR
2018-08-05,Credit Card,Apparel,Clothing,For Family,3410.0,Expense,INR
2018-08-05,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-08-05,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-08-05,Credit Card,Family,clothes,Bows,398.0,Expense,INR
2018-08-02,Cash,Household,Kirana,Supermart,18.0,Expense,INR
2018-08-02,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
2018-08-02,Cash,Health,Health,eyewear Glasses advance,1000.0,Expense,INR
2018-07-31,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
2018-07-31,Cash,Food,chocolate,10 melody,10.0,Expense,INR
2018-07-30,Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,INR
2018-07-30,Saving Bank account 1,Food,Lunch,Catering Service,212.0,Expense,INR
2018-07-30,Cash,Food,breakfast,1 plates poha,25.0,Expense,INR
2018-07-29,Saving Bank account 1,Food,Eating out,Paneer pizza,260.0,Expense,INR
2018-07-29,Cash,Transportation,auto,Decathlon Place A to Place A station,50.0,Expense,INR
2018-07-29,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-07-29,Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,40.0,Expense,INR
2018-07-29,Cash,Food,breakfast,Medu vada 3 plate,105.0,Expense,INR
2018-07-28,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR
2018-07-28,Credit Card,Household,Kirana,Supermart,3750.0,Expense,INR
2018-07-26,Cash,Food,Biscuits,Toast packet,40.0,Expense,INR
2018-07-23,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
2018-07-23,Cash,Food,breakfast,4 plates poha,100.0,Expense,INR
2018-07-21,Cash,Household,Kirana,Supermart,368.0,Expense,INR
2018-07-21,Cash,Food,fruits,Khajur pav kg,30.0,Expense,INR
2018-07-21,Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,60.0,Expense,INR
2018-07-21,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
2018-07-20,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
2018-07-20,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
2018-07-20,Cash,Food,Onions,onion 1 kg,25.0,Expense,INR
2018-07-20,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,Expense,INR
2018-07-20,Cash,Health,Medicine,Cataract Medicine,87.0,Expense,INR
2018-07-20,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,INR
2018-07-19,Cash,Food,curd,Dahi 4 packets,40.0,Expense,INR
2018-07-18,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
2018-07-16,Cash,Apparel,Laundry,12 clothes ironing,84.0,Expense,INR
2018-07-16,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR
2018-07-16,Cash,Food,snacks,7 kachori,84.0,Expense,INR
2018-07-15,Cash,Food,snacks,4 kachori,48.0,Expense,INR
2018-07-13,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,Expense,INR
2018-07-13,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,INR
2018-07-12,Cash,Food,Eggs,6 eggs,35.0,Expense,INR
2018-07-11,Cash,Food,Bread,2 bread packets,57.0,Expense,INR
2018-07-09,Cash,Transportation,Petrol,3.4 Lit Petrol,360.0,Expense,INR
2018-07-09,Cash,Food,Biscuits,Toast packet,20.0,Expense,INR
2018-07-09,Cash,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR
2018-07-08,Cash,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,185.0,Expense,INR
2018-07-08,Saving Bank account 1,Food,Tea,3 cutting chai,30.0,Expense,INR
2018-07-08,Credit Card,Health,Medicine,eye drop,153.0,Expense,INR
2018-07-08,Cash,Health,Hospital,Hospital consultation,500.0,Expense,INR
2018-07-08,Cash,Transportation,Taxi,Ola cab - Current Residence CHS to eye institute,130.0,Expense,INR
2018-07-08,Saving Bank account 1,Transportation,Taxi,To and Fro Cab Fare Contribution,675.0,Expense,INR
2018-07-07,Cash,Transportation,Train,Place 4 to Place 0,10.0,Expense,INR
2018-07-07,Credit Card,Food,Lunch,At restaurant,2.0,Expense,INR
2018-07-06,Cash,Food,Dinner,At restaurant,760.0,Expense,INR
2018-07-06,Cash,Transportation,Taxi,Park Inn Goa,100.0,Expense,INR
2018-07-05,Cash,Transportation,auto,Terminal 1 to Terminal 2,83.0,Expense,INR
2018-07-05,Cash,Food,Tea,cutting chai,7.0,Expense,INR
2018-07-05,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-07-05,Cash,Transportation,Train,Place 0 to Place P,20.0,Expense,INR
2018-07-04,Cash,Health,Hospital,Doctor Fees,100.0,Expense,INR
2018-07-04,Cash,Beauty,grooming,Shaving,50.0,Expense,INR
2018-07-04,Saving Bank account 1,Health,Lab Tests,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0,Expense,INR
2018-07-03,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-07-03,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
2018-07-02,Saving Bank account 1,Household,Kirana,Supermart,1595.0,Expense,INR
2018-07-02,Cash,Transportation,auto,Place 1 bridge to Current Residence 2 seats,50.0,Expense,INR
2018-07-02,Cash,Transportation,Bus,2 Place 6 Stand to MS,20.0,Expense,INR
2018-07-02,Credit Card,Household,home decor,Face towels + shampoo,626.0,Expense,INR
2018-07-02,Cash,Transportation,Bus,2 Place 1 to  mall,26.0,Expense,INR
2018-07-02,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,40.0,Expense,INR
2018-07-01,Debit Card,Culture,Movie,2 PVR ,461.0,Expense,INR
2018-07-01,Credit Card,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,Expense,INR
2018-07-01,Saving Bank account 1,Food,snacks,Vadapav,15.0,Expense,INR
2018-07-01,Saving Bank account 1,Apparel,Clothing,undergarments pair of Jockey,430.0,Expense,INR
2018-07-01,Cash,Apparel,Laundry,clothes ironing,98.0,Expense,INR
2018-07-01,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-06-30,Saving Bank account 1,Household,Appliances,Aqugurad PRV,1200.0,Expense,INR
2018-06-29,Cash,Household,Hardware,Tulsi plant+ pot,70.0,Expense,INR
2018-06-29,Cash,Household,Kitchen,Math tap repair,50.0,Expense,INR
2018-06-29,Cash,Household,Appliances,3 bulbs 3 pencil cells,270.0,Expense,INR
2018-06-28,Credit Card,Food,Dinner,Home Food Delivery,455.0,Expense,INR
2018-06-28,Cash,Food,snacks,Bhaji + vadapav + kachori+ tea,70.0,Expense,INR
2018-06-28,Cash,Transportation,Taxi,Vadala road to Nehru Planetarium,228.0,Expense,INR
2018-06-28,Credit Card,Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,INR
2018-06-27,Credit Card,Tourism,Entry Fees,Planetarium,308.85,Expense,INR
2018-06-27,Cash,Food,Tea,2 cups,14.0,Expense,INR
2018-06-27,Cash,Household,gadgets,Mobile cover real mi note pro,100.0,Expense,INR
2018-06-27,Cash,Household,gadgets,Mouse pad,100.0,Expense,INR
2018-06-27,Credit Card,Apparel,Accessories,Purse,450.0,Expense,INR
2018-06-27,Credit Card,Apparel,Footwear,Rainy season chappal,550.0,Expense,INR
2018-06-27,Cash,Transportation,auto,Place P station to Alfa market,25.0,Expense,INR
2018-06-27,Cash,Transportation,Train,2 Place 0 to Place P return,80.0,Expense,INR
2018-06-27,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
2018-06-26,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2018-06-26,Credit Card,Household,Kirana,Supermart,1990.0,Expense,INR
2018-06-26,Saving Bank account 1,Household,Appliances,Aqugurad water purifier,13050.0,Expense,INR
2018-06-26,Saving Bank account 1,Household,Hardware,Umbrella handle repair,70.0,Expense,INR
2018-06-26,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-06-26,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
2018-06-26,Cash,Food,snacks,Bhaji + vadapav,30.0,Expense,INR
2018-06-25,Saving Bank account 1,Food,Lunch,Home Food Delivery,320.0,Expense,INR
2018-06-25,Credit Card,Household,Kirana,Smart point,2074.0,Expense,INR
2018-06-24,Cash,Transportation,auto,2 Place 0 to Current Residence,40.0,Expense,INR
2018-06-24,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
2018-06-24,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-06-24,Credit Card,Health,Health,Suppliemnts,211.75,Expense,INR
2018-06-24,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
2018-06-24,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-06-24,Cash,Food,snacks,2 Vadapav 2 samosa pav,60.0,Expense,INR
2018-06-23,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545.0,Expense,INR
2018-06-22,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
2018-06-19,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
2018-06-18,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
2018-06-15,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
2018-06-15,Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR
2018-06-11,Cash,Food,Eggs,12 eggs,84.0,Expense,INR
2018-06-10,Saving Bank account 1,Household,home decor,Sofa covers,3000.0,Expense,INR
2018-06-09,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
2018-05-28,Credit Card,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
2018-05-28,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
2018-05-27,Cash,Household,Kirana,Soap + dahya pav kg,75.0,Expense,INR
2018-05-26,Cash,Transportation,auto,Permanent Residence to Motor Driving school,50.0,Expense,INR
2018-05-24,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
2018-05-23,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,166.0,Expense,INR
2018-05-22,Cash,Health,Health,2 All out refill,154.0,Expense,INR
2018-05-20,Saving Bank account 1,Family,misc,"Soap, shampoo, razor",122.0,Expense,INR
2018-05-19,Cash,Household,Kitchen,flour mill,25.0,Expense,INR
2018-05-19,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
2018-05-18,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
2018-05-15,Saving Bank account 1,Food,Ice cream,Cookies & cream family pack,135.0,Expense,INR
2018-05-15,Cash,Transportation,auto,within city,30.0,Expense,INR
2018-05-15,Saving Bank account 1,Household,Appliances,LG Washing Machine,21500.0,Expense,INR
2018-05-15,Cash,Transportation,auto,Permanent Residence to GH road,50.0,Expense,INR
2018-05-14,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
2018-05-14,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
2018-05-14,Cash,Food,snacks,Potato chips,15.0,Expense,INR
2018-05-14,Saving Bank account 1,Food,fruits,2 dozens mango + 1kg litchi,1250.0,Expense,INR
2018-05-14,Cash,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
2018-05-14,Cash,Transportation,auto,2 Current Residence to Place 0,40.0,Expense,INR
2018-05-13,Cash,Apparel,Laundry,clothes ironing,77.0,Expense,INR
2018-05-13,Cash,Education,Stationary,Gel pen Refills,12.0,Expense,INR
2018-05-12,Credit Card,Food,Dinner,Domino's Pizza,437.0,Expense,INR
2018-05-12,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-05-12,Cash,Food,snacks,4 kachori,48.0,Expense,INR
2018-05-12,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-05-11,Cash,Food,Rajgira ladu,1 packet,20.0,Expense,INR
2018-05-10,Saving Bank account 1,Food,Ice cream,2 Faluda,80.0,Expense,INR
2018-05-09,Cash,subscription,Newspaper,Mata + TOI + ET,12.0,Expense,INR
2018-05-09,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
2018-05-09,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-05-08,Cash,Food,Sweets,Kaju katli half kg,500.0,Expense,INR
2018-05-08,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-05-08,Cash,Beauty,grooming,Shaving,50.0,Expense,INR
2018-05-07,Credit Card,Household,Toiletries,Handwash container2 + window cleaner,1086.0,Expense,INR
2018-05-07,Cash,Transportation,Bike,Mall parking,20.0,Expense,INR
2018-05-07,Saving Bank account 1,Food,Lunch,Home Food Delivery,430.0,Expense,INR
2018-05-07,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-05-04,Cash,Household,Kirana,Supermart,37.0,Expense,INR
2018-05-04,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-05-03,Saving Bank account 1,Food,snacks,Bhaji + vadapav,40.0,Expense,INR
2018-05-02,Saving Bank account 1,Food,fruits,Mango 1.5 kg,280.0,Expense,INR
2018-05-01,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-05-01,Saving Bank account 1,Health,Medicine,ITone eye drops,43.0,Expense,INR
2018-05-01,Saving Bank account 1,Health,Medicine,Refresh Tears Drop,122.0,Expense,INR
2018-04-30,Cash,Food,snacks,6 kachori,72.0,Expense,INR
2018-04-30,Cash,Household,Kirana,Supermart,165.0,Expense,INR
2018-04-30,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,176.0,Expense,INR
2018-04-30,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
2018-04-30,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-29,Saving Bank account 1,Food,beverage,2 sugarcane juice,40.0,Expense,INR
2018-04-28,Credit Card,Food,Dinner,Home Food Delivery,413.0,Expense,INR
2018-04-27,Cash,Household,Kirana,Supermart,295.0,Expense,INR
2018-04-26,Cash,Food,snacks,Noodles packet,30.0,Expense,INR
2018-04-26,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-25,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-04-24,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-04-23,Saving Bank account 1,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-04-22,Cash,Household,Kirana,Supermart,190.0,Expense,INR
2018-04-22,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-21,Cash,Food,Ice cream,Naturals,160.0,Expense,INR
2018-04-21,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
2018-04-20,Saving Bank account 1,Food,Dinner,Sugaran Kitchen,70.0,Expense,INR
2018-04-19,Cash,Household,Kitchen,flour mill,14.0,Expense,INR
2018-04-19,Saving Bank account 1,Food,Eggs,6 eggs,36.0,Expense,INR
2018-04-19,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-17,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-16,Saving Bank account 1,Education,Stationary,3 Pens,21.0,Expense,INR
2018-04-16,Saving Bank account 1,Apparel,Laundry,clothes ironing,63.0,Expense,INR
2018-04-16,Saving Bank account 1,Household,Kirana,Cockroach injection,270.0,Expense,INR
2018-04-16,Saving Bank account 1,Household,Kirana,Supermart,265.0,Expense,INR
2018-04-16,Credit Card,Household,Kirana,Smart point,450.0,Expense,INR
2018-04-15,Cash,Food,snacks,pav Bhaji,70.0,Expense,INR
2018-04-15,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
2018-04-15,Credit Card,Household,Kitchen,"Vessels for sugar, coffee and tea",799.0,Expense,INR
2018-04-15,Credit Card,Family,makeup,Body mist,525.0,Expense,INR
2018-04-15,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-04-15,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-04-15,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-04-14,Saving Bank account 1,Household,Kirana,Supermart,107.0,Expense,INR
2018-04-14,Saving Bank account 1,Food,Grocery,Pizza base packet 2,40.0,Expense,INR
2018-04-14,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-04-14,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-13,Cash,Health,Lab Tests,Family Thyroid Test + CBC,700.0,Expense,INR
2018-04-12,Cash,Food,snacks,Pattice,20.0,Expense,INR
2018-04-12,Cash,Food,Lunch,Catering Service,130.0,Expense,INR
2018-04-10,Cash,Food,breakfast,Bread,18.0,Expense,INR
2018-04-10,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-04-09,Cash,Food,Grocery,Ginger,10.0,Expense,INR
2018-04-09,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-07,Credit Card,Household,Kirana,Supermart,1857.0,Expense,INR
2018-04-07,Cash,Household,Kirana,Pav kg chana dal,24.0,Expense,INR
2018-04-07,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-04-05,Cash,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-04-05,Cash,Food,Eggs,6 eggs,36.0,Expense,INR
2018-04-05,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-05,Cash,Food,Lunch,Catering Service,130.0,Expense,INR
2018-04-02,Cash,Transportation,Bike,Mall parking,20.0,Expense,INR
2018-04-02,Credit Card,Household,Hardware,Window cleaner,149.0,Expense,INR
2018-04-02,Cash,Food,Grocery,Pav kg Lahsoon,24.0,Expense,INR
2018-04-02,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
2018-04-02,Cash,Food,Onions,onion 2 kg,36.0,Expense,INR
2018-04-01,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-03-31,Saving Bank account 1,Food,Ice cream,2 chocobar,45.0,Expense,INR
2018-03-31,Credit Card,Food,Dinner,Home Food Delivery,244.0,Expense,INR
2018-03-31,Credit Card,Food,Lunch,Domino's Pizza,419.0,Expense,INR
2018-03-31,Saving Bank account 1,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-03-31,Cash,Transportation,Train,Place 0 to Sion returns,30.0,Expense,INR
2018-03-30,Cash,Food,snacks,1 Panipuri,25.0,Expense,INR
2018-03-30,Cash,Food,vegetables,Ginger + green chilli,20.0,Expense,INR
2018-03-30,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-03-29,Credit Card,Food,Dinner,At restaurant,1234.0,Expense,INR
2018-03-27,Cash,Food,breakfast,Bread,35.0,Expense,INR
2018-03-26,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-03-26,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-03-25,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-03-25,Cash,Food,snacks,Popcorn family pack,25.0,Expense,INR
2018-03-25,Cash,Food,Tea,2 tea,20.0,Expense,INR
2018-03-25,Cash,Food,snacks,2 Frankie,160.0,Expense,INR
2018-03-25,Credit Card,Food,snacks,French crossiant,80.0,Expense,INR
2018-03-25,Credit Card,Food,Tea,IKEA tea 3,240.0,Expense,INR
2018-03-23,Cash,Culture,Books,Finding next Job,100.0,Expense,INR
2018-03-22,Saving Bank account 1,Food,flour mill,1 kg Bajari,7.0,Expense,INR
2018-03-22,Cash,Food,vegetables,Half kg tomato,15.0,Expense,INR
2018-03-22,Saving Bank account 1,Household,Kirana,Supermart,153.0,Expense,INR
2018-03-22,Saving Bank account 1,Food,snacks,Pickle,150.0,Expense,INR
2018-03-22,Cash,Food,snacks,Potato chips,150.0,Expense,INR
2018-03-22,Cash,Food,Rajgira ladu,1 packet,20.0,Expense,INR
2018-03-22,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-03-21,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
2018-03-21,Credit Card,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-03-20,Credit Card,Food,Dinner,2 Fried rice,246.0,Expense,INR
2018-03-20,Credit Card,Food,snacks,Chicken lollypop 8 pcs,215.75,Expense,INR
2018-03-20,Cash,Food,breakfast,Bread,18.0,Expense,INR
2018-03-20,Cash,Food,Eggs,6 eggs,36.0,Expense,INR
2018-03-20,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-18,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-03-18,Cash,Food,snacks,Dabeli,15.0,Expense,INR
2018-03-18,Credit Card,Family,clothes,Trouser,799.0,Expense,INR
2018-03-18,Credit Card,Family,clothes,Belt + bow,498.0,Expense,INR
2018-03-18,Cash,Food,snacks,Papad packet,50.0,Expense,INR
2018-03-18,Cash,Food,snacks,1 Panipuri,30.0,Expense,INR
2018-03-18,Cash,Food,Tea,cutting chai,10.0,Expense,INR
2018-03-18,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-03-17,Cash,Food,Lunch,Catering Service,30.0,Expense,INR
2018-03-17,Saving Bank account 1,Food,Milk,Half lit  milk,37.0,Expense,INR
2018-03-15,Cash,Food,Lunch,Catering Service,60.0,Expense,INR
2018-03-15,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-14,Cash,Household,Kirana,Mayonnaise + cheese cubes,140.0,Expense,INR
2018-03-14,Cash,Food,Onions,onion 2 kg,40.0,Expense,INR
2018-03-14,Credit Card,Food,Dinner,Domino's Pizza,578.0,Expense,INR
2018-03-13,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-12,Saving Bank account 1,Transportation,train,2 Place 3 to Place 2 : Sevagram express 3AC,1293.0,Expense,INR
2018-03-10,Cash,Household,Hardware,Mosquito Racket,300.0,Expense,INR
2018-03-10,Cash,Health,Health,All out refill,77.0,Expense,INR
2018-03-10,Cash,Food,Milk,1 lit ,72.0,Expense,INR
2018-03-10,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
